id,source,source_event_id,nombre,descripcion,costo,gratis,lugar,direccion,municipio_id,categoria,enlaceboletos,boletos_por_localidad,imagen,imagen_orientacion,image_crop_mode,image_focus_x,image_focus_y,image_zoom,image_focus_confidence,image_focus_source,activo
215,ticketera,gigantes-bsn-2026-temporada-regular,Gigantes BSN 2026 - Temporada Regular,"Restricciones:

Personas en silla de ruedas: Para comprar boletos en área designada debe comunicarse al Call Center al 787 305 3600 o en la boletería el día del evento. Sujeto a Disponibilidad.
No Reingreso -Si sale al exterior, no puede volver a reingresar
No nos hacemos responsables por boletos transferidos
No Cornetas de gas o artefactos similares
No Cuchillas o objetos punzantes
No Cigarrillos y/o cigarrillos electrónicos dentro de la cancha
No Botellas o recipientes de vidrio
No Armas de fuego
No encendedores “lighters” y fósforos
No Latas, Botellas
No “drone”
No perfumes
Fumadores tendrán un área asignada
Niños de 2 años en adelante pagan precio regular.
Niños menores de 2 años deben estar en la falda de su padre, madre o tutor. No puede consumir un asiento.",,false,Coliseo Carlos Miguel Mangual,"Coliseo Carlos Miguel Mangual, Canóvanas",15,3,https://www.ticketera.com/events/detail/gigantes-bsn-2026-temporada-regular,false,https://www.ticketera.com/assets/img/1210X450-5-07b5de98b1.png,horizontal,cover,0.50,0.30,1.05,78,ticketera_auto_v1,true
216,ticketera,laura-pausini-world-tour,Laura Pausini “ Yo Canto World Tour”,"Accesibilidad (ADA):
Al adquirir boletos en una sección ADA (WH), el comprador acepta presentar una tarjeta de impedido o carné válido el día del evento como requisito de entrada.",,false,Coliseo de Puerto Rico,"Coliseo de Puerto Rico, San Juan",65,1,https://www.ticketera.com/events/detail/laura-pausini-world-tour,false,https://www.ticketera.com/assets/img/Proyecto-nuevo-597e2a75df.jpg,horizontal,cover,0.50,0.30,1.05,78,ticketera_auto_v1,true
217,ticketera,los-tigres-del-norte,Los Tigres del Norte,"Los Tigres del Norte son una de las agrupaciones más grandes e influyentes de la música latina a nivel mundial. Con más de 55 años de carrera, han logrado mantenerse vigentes, llenando arenas y teatros en múltiples países, acumulando millones de discos vendidos, así como numerosos premios Grammy y Latin Grammy. Su catálogo de éxitos ha trascendido generaciones, conectando con públicos de todas las edades y consolidándose como un fenómeno cultural que sigue marcando la escena musical latina.
En su gira “Los Tigres del Mundo”, la suerte está echada. Cada canción es un acierto y cada acorde se canta fuerte. Puro norteño del bueno, historias que se viven a todo pulmón y una noche que promete tocarte carta tras carta. Compra tus boletos ahora.
Accesibilidad (ADA):
Para asistencia con la compra de boletos en el área ADA, favor de comunicarse con el Coca-Cola Music Hall al 787-425-0900. Al adquirir boletos en esta sección, el comprador acepta presentar una tarjeta de impedido o carné válido el día del evento como requisito de entrada.",,false,Coca-Cola Music Hall,"Coca-Cola Music Hall, San Juan",65,1,https://www.ticketera.com/events/detail/los-tigres-del-norte,false,https://www.ticketera.com/assets/img/G9hGM3nk-95d1378685.jpeg,horizontal,cover,0.50,0.30,1.05,78,ticketera_auto_v1,true
218,ticketera,aterciopelados,Aterciopelados: La Pipa de la Paz,"Evento se llevará a cabo en la Sala de Festivales.
Aterciopelados: La Pipa de la Paz - 30 años + Hits
Aterciopelados celebra tres décadas de La Pipa de la Paz, un álbum histórico que transformó el panorama del rock latinoamericano y que sigue vigente como una obra icónica. Este disco no solo consolidó el sonido inconfundible de la banda, sino también su poderoso mensaje de conciencia social y su fusión única entre rock, folclor y modernidad.
El Tour La Pipa de la Paz – 30 Años + Hits será una experiencia imperdible que combina la celebración de este álbum emblemático con un recorrido por los grandes éxitos que han marcado la trayectoria de Aterciopelados. Un espectáculo cargado de historia, energía, innovación y vigencia, diseñado para conectar con públicos de todas las edades y reunir distintas generaciones alrededor de la música.
Aterciopelados invita a vivir una noche inolvidable que renueva su llamado a la paz y celebra la memoria, la resistencia y la creatividad que han convertido a la banda en un ícono del rock latinoamericano.
Una producción de Shownet Group.",,false,CBA Santurce,"CBA Santurce, San Juan",65,15,https://www.ticketera.com/events/detail/aterciopelados,false,https://www.ticketera.com/assets/img/1.-Event-Header-Image-1210x450-35431f8e3f.jpeg,horizontal,cover,0.50,0.30,1.05,78,ticketera_auto_v1,true
219,ticketera,asi-o-mas-vulgar,Así o Más Vulgar,"Evento para mayores de 18 años.
Ámbar Bonilla llega al teatro con un stand-up que te las canta to’as.
Entre canciones y verdades vulgares; Ámbar nos lleva por los momentos más graciosos de su vida y de la tuya. Así que agarra tu micrófono imaginario y acompáñanos en este concierto/stand-up/experiencia única que te las cantará un chiste a la vez.
Accesibilidad – Comunidad Sorda:
Los espacios para la comunidad sorda podrán adquirirse a través del siguiente enlace: Acceder aquí
Estos espacios corresponden a áreas designadas, se recomienda coordinar su boleto previamente para garantizar disponibilidad.",,false,Teatro Braulio Castillo,"Teatro Braulio Castillo, Bayamón",11,15,https://www.ticketera.com/events/detail/asi-o-mas-vulgar,false,https://www.ticketera.com/assets/img/1210-x-450-1035ea06b1.jpg,horizontal,cover,0.50,0.30,1.05,78,ticketera_auto_v1,true
220,ticketera,uagm-food-fest-2026,UAGM Food Fest 2026,"El UAGM Food Fest 2026: Around the World Edition es la experiencia gastronómica definitiva en Puerto Rico. Un evento único donde los mejores exhibidores se reúnen para ofrecer una noche inolvidable de sabor, entretenimiento y excelencia culinaria.
Fecha: 16 de mayo de 2026
Hora: 6:00 pm – 10:00 pm
Lugar: Universidad Ana G. Méndez, Recinto de Carolina
Un evento Pro-Fondo de Becas, creado por los estudiantes del Bachillerato en Producción de Eventos , de la UAGM Recinto de Carolina que promete una combinación perfecta de gastronomía, mixología y entretenimiento.
La UAGM se convertirá en el epicentro de una celebración gastronómica donde la diversidad y los sabores se dan la mano en el evento más esperado del semestre.
El UAGM Food Fest será una experiencia única que te permitirá disfrutar de exquisitos platillos acompañados de una amplia selección de bebidas , desde opciones refrescantes hasta creaciones innovadoras, diseñadas para maridar a la perfección con la oferta culinaria del evento.
No solo será una oportunidad para probar nuevas recetas y bebidas , sino también para vivir un día lleno de sabores en una atmósfera vibrante y festiva. ¡No te lo puedes perder!
Exhibidores Confirmados: Solo lo mejor en gastronomía y mixología:

Universidad Ana G. Méndez
Escuela Internacional de Hospitalidad y Artes Culinarias Jose A. Tony Santana
Bacardi
Betis
Coca Cola
Zona Tres
Delightful Cravings
Gelo
The Catch
Mambo Pizza
Ambitious
The Coffee
Genesis Solar, Tech and Security
StuffedStixsPR
Ballester
Diversos Grill
Divinissimo Gelato
Embiste
Taste Buds Bakery
Tacos y Tequila
Magical Healthy Bistro
Luna Di Miel
Sweet Menace
Hardrock Cafe
Cervecera Frutos del Eden
Rias Baixas
Mr Mac
Cake in a Jar
Hyatt Centric
⁠Nacho Libre
Cervecera de Puerto Rico
Parcerito
La Malcriada
Hacienda la Tradición
Buren Café
Limonada Mia
Harrys Tacos
Heineken
​​​​​​​¡Y muchos más!",,false,"UAGM, Recinto de Carolina","UAGM, Recinto de Carolina",16,15,https://www.ticketera.com/events/detail/uagm-food-fest-2026,false,https://www.ticketera.com/assets/img/event-head-img.-ff26-9c71003c01.png,horizontal,cover,0.50,0.30,1.05,78,ticketera_auto_v1,true
221,ticketera,esto-si-es-un-show,Esto Sí Es Un Show,"Eventos de CBA Santurce se llevará a cabo en la Sala de Festivales.
Johnny Ray en Esto Sí es un Show: Iconic
¿Johnny Ray se retira? No necesariamente de la actuación, pero por última vez regresa al escenario con Esto sí es un show , su famoso espectáculo de comedias, bailes e inolvidables personajes. El querendón de Puerto Rico interpretará sus más populares personajes e imitaciones como lo son Petraca, El Juez Moña Blanca, Nancy Popoff, Juan Bazó, Las Hermanas Pestillo y Ya Ustedes Saben Quien, entre muchos otros.
Esto sí es un show: Iconic , será una fabulosa revista musical totalmente nueva, que incluirá pasos de comedia con reconocidos artistas invitados. Por varios años versiones anteriores de este espectáculo ha sido el favorito del público llenando a capacidad múltiples funciones en todos los teatros que se presenta. NO te puedes perder esta nueva edición: Iconic.
Solo para adultos.",,false,Teatro Yagüez,"Teatro Yagüez, Mayagüez",50,10,https://www.ticketera.com/events/detail/esto-si-es-un-show,false,https://www.ticketera.com/assets/img/ESEUS-Ticketera-Event-Header-1210x450-e673c54bb9.jpg,horizontal,cover,0.50,0.30,1.05,78,ticketera_auto_v1,true
222,ticketera,jonathan-barber-vision-ahead,Jonathan Barber & Vision Ahead,"Jonathan Barber & Vision Ahead | Henry Cole: Solo
Baterista y Compositor de Jazz Contemporáneo
Pro Arte Musical presenta al baterista, compositor y educador Jonathan Barber junto a su aclamada agrupación Vision Ahead, en su esperado debut en Puerto Rico, con la presentación estelar del baterista puertorriqueño y ganador del Premio Grammy, Henry Cole, el sábado, 16 de mayo de 2026 a las 7:30 p.m., en el Teatro de la Universidad Interamericana, Recinto Metro, en San Juan.
Reconocido por la revista Modern Drummer como “#1 Up-and-Coming Drummer” y distinguido como Baterista de Jazz del Año 2026 en los Drumeo Awards, Jonathan Barber se afirma como una de las figuras más relevantes del jazz contemporáneo. Con una trayectoria que abarca escenarios en ciudades como Nueva York, Londres y París, y un reconocimiento sostenido por la crítica especializada, su propuesta se sitúa en la vanguardia del modern jazz, donde confluyen la improvisación, la espiritualidad y una síntesis de géneros como el góspel, el soul, el rock y el R&B, en un lenguaje de gran intensidad expresiva.
Por su parte, Henry Cole es baterista, compositor y educador, originario de Mayagüez, cuyo trabajo vincula tradiciones afro-puertorriqueñas, indígenas y europeas con el jazz contemporáneo. Reconocido por su estilo innovador y distintivo, Cole ha definido por más de dos décadas la arquitectura rítmica del jazz latino en escenarios globales.
En esta ocasión presenta Henry Cole: Solo, un proyecto que explora la percusión como vehículo narrativo. A través de versiones a cappella de canciones emblemáticas, construye e improvisa acompañamientos rítmicos que dialogan con la voz, el fraseo y la emoción, dando forma a una propuesta de gran libertad creativa y profundidad.
Ambos artistas ocupan un lugar destacado en la escena internacional del jazz contemporáneo; juntos, reúnen dos visiones de alcance global en un mismo escenario. ¡No te lo puedes perder!",,false,Teatro Inter Metro,"Teatro Inter Metro, San Juan",65,10,https://www.ticketera.com/events/detail/jonathan-barber-vision-ahead,false,https://www.ticketera.com/assets/img/Barber-Cole-Ticketera-1210x450-1083862336.jpg,horizontal,cover,0.50,0.30,1.05,78,ticketera_auto_v1,true
223,ticketera,grupo-mania-the-originals,Grupo Mania - The Originals,"Accesibilidad (ADA):
Al adquirir boletos en una sección ADA (WH), el comprador acepta presentar una tarjeta de impedido o carné válido el día del evento como requisito de entrada.",,false,Coliseo de Puerto Rico,"Coliseo de Puerto Rico, San Juan",65,1,https://www.ticketera.com/events/detail/grupo-mania-the-originals,false,https://www.ticketera.com/assets/img/1210w-x-450h-2-ecf652469e.jpg,horizontal,cover,0.50,0.30,1.05,78,ticketera_auto_v1,true
224,ticketera,sr-family-ni-santos-ni-perfectos,SR Family: Ni santos ni perfectos,"SR Family: Ni santos ni perfectos
Ven a ver a la familia que es toda una sensación de las redes sociales, SR Family. Imagina un escenario donde Liliana, Alex y Valentina, de SR Family, se embarcan en una hilarante travesía llena de malentendidos, ocurrencias y momentos de ternura. El espectáculo explora la vida cotidiana de una pareja moderna, resaltando las pequeñas imperfecciones que hacen grandes las relaciones y la importancia de celebrar las diferencias entre personas.
Entre diálogos chispeantes, situaciones inesperadas y rutinas que desatan carcajadas, el público los acompaña en sus intentos por mantener la armonía en el hogar, sobrevivir a las sorpresas del matrimonio y encontrar el equilibrio perfecto entre el amor y la locura familiar. Un espectáculo para todas las edades.
SR Family: Ni santos ni perfectos es una invitación a reír y concienciar sobre el perdón y el amor mediante sketches, parodias y música donde el público podrá identificarse con las situaciones más divertidas y sinceras de la vida en familia.
¡Ven al teatro y descubre por qué el amor, con todos sus enredos, siempre merece una ovación!",,false,Teatro Ernesto Ramos Antonini,"Teatro Ernesto Ramos Antonini, San Sebastián",67,13,https://www.ticketera.com/events/detail/sr-family-ni-santos-ni-perfectos,false,https://www.ticketera.com/assets/img/TICKETERA_Ticketera1210x450-copy-1-7b7fc6e530.jpg,horizontal,cover,0.50,0.30,1.05,78,ticketera_auto_v1,true
