evento_id,source,source_event_id,url_evento,logo_key,prioridad,activo
67,pietix,men-city-padre-soltero,https://pietix.com/men-city-padre-soltero,pietix,20,true
68,pietix,sidepiece2,https://pietix.com/sidepiece2,pietix,20,true
69,pietix,improjangueo,https://pietix.com/improjangueo,pietix,20,true
70,pietix,elcaco-y-elrockero,https://pietix.com/elcaco-y-elrockero,pietix,20,true
71,pietix,serenata-a-las-reinas,https://pietix.com/serenata-a-las-reinas,pietix,20,true
72,pietix,tombola-estelar-corozal,https://pietix.com/tombola-estelar-corozal,pietix,20,true
73,pietix,el-boricua-es-otra-cosa-gira,https://pietix.com/el-boricua-es-otra-cosa-gira,pietix,20,true
74,pietix,genock-imagen,https://pietix.com/genock-imagen,pietix,20,true
75,pietix,la-mudanza-puntofijo,https://pietix.com/la-mudanza-puntofijo,pietix,20,true
76,pietix,que-madre,https://pietix.com/que-madre,pietix,20,true
77,pietix,y-que-se-joda,https://pietix.com/y-que-se-joda,pietix,20,true
78,pietix,mas-turbado-que-tu,https://pietix.com/mas-turbado-que-tu,pietix,20,true
79,pietix,marine-expo-2026,https://pietix.com/marine-expo-2026,pietix,20,true
80,pietix,tombola-estelar,https://pietix.com/tombola-estelar,pietix,20,true
81,pietix,soy-menopausica,https://pietix.com/soy-menopausica,pietix,20,true
82,pietix,pr-100x35-expo,https://pietix.com/pr-100x35-expo,pietix,20,true
83,pietix,relacion-es-caguas,https://pietix.com/relacion-es-caguas,pietix,20,true
84,pietix,dato-curioso,https://pietix.com/dato-curioso,pietix,20,true
85,pietix,payaso-flacumbo-studio58,https://pietix.com/payaso-flacumbo-studio58,pietix,20,true
86,pietix,en-blanco-y-negro,https://pietix.com/en-blanco-y-negro,pietix,20,true
87,pietix,kikoblade-penetrado-corozal,https://pietix.com/kikoblade-penetrado-corozal,pietix,20,true
88,pietix,tributo-al-divo-juangabriel,https://pietix.com/tributo-al-divo-juangabriel,pietix,20,true
89,pietix,manolo-in-caguas,https://pietix.com/manolo-in-caguas,pietix,20,true
90,pietix,sesion-inedita,https://pietix.com/sesion-inedita,pietix,20,true
91,pietix,julio-elcaco,https://pietix.com/julio-elcaco,pietix,20,true
92,pietix,mejor-sola-studio58,https://pietix.com/mejor-sola-studio58,pietix,20,true
93,pietix,un-abrazo-cultural-2026,https://pietix.com/un-abrazo-cultural-2026,pietix,20,true
94,pietix,samuel-rivera-intimo,https://pietix.com/samuel-rivera-intimo,pietix,20,true
95,pietix,solo,https://pietix.com/solo,pietix,20,true
96,pietix,pa-que-te-rias,https://pietix.com/pa-que-te-rias,pietix,20,true
97,pietix,josue-comedy-madre-latina-tour,https://pietix.com/josue-comedy-madre-latina-tour,pietix,20,true
98,pietix,desnuda,https://pietix.com/desnuda,pietix,20,true
99,pietix,asi-somos,https://pietix.com/asi-somos,pietix,20,true
100,pietix,the-bars-show-2026,https://pietix.com/the-bars-show-2026,pietix,20,true
101,pietix,con-pablo-en-el-alma,https://pietix.com/con-pablo-en-el-alma,pietix,20,true
102,pietix,super-otaku-con,https://pietix.com/super-otaku-con,pietix,20,true
103,pietix,la-puerca-de-juan-bobo,https://pietix.com/la-puerca-de-juan-bobo,pietix,20,true
104,pietix,la-nueva-corte,https://pietix.com/la-nueva-corte,pietix,20,true
105,pietix,concierto-por-nuestra-voz,https://pietix.com/concierto-por-nuestra-voz,pietix,20,true
106,pietix,npc-borinquen-classic-2026,https://pietix.com/npc-borinquen-classic-2026,pietix,20,true
107,pietix,sie7e-intimo,https://pietix.com/sie7e-intimo,pietix,20,true
108,pietix,tombola-yauco,https://pietix.com/tombola-yauco,pietix,20,true
109,pietix,chisteando-mayaguez,https://pietix.com/chisteando-mayaguez,pietix,20,true
110,pietix,cuentos-de-padres,https://pietix.com/cuentos-de-padres,pietix,20,true
111,pietix,el-bardo-y-el-jibarito,https://pietix.com/el-bardo-y-el-jibarito,pietix,20,true
112,pietix,standoperos-chisteando,https://pietix.com/standoperos-chisteando,pietix,20,true
113,pietix,caribbean-gamic-expo2026,https://pietix.com/caribbean-gamic-expo2026,pietix,20,true
114,pietix,penetrado-usa-tour,https://pietix.com/penetrado-usa-tour,pietix,20,true
115,pietix,standup-comedy-espanol-puntofijo,https://pietix.com/standup-comedy-espanol-puntofijo,pietix,20,true
116,pietix,ucp-one-night-revolution,https://pietix.com/ucp-one-night-revolution,pietix,20,true
117,pietix,standup-comedy-espanol-ponce,https://pietix.com/standup-comedy-espanol-ponce,pietix,20,true
118,pietix,kabeto-mayaguez,https://pietix.com/kabeto-mayaguez,pietix,20,true
119,pietix,kabeto,https://pietix.com/kabeto,pietix,20,true
120,pietix,quitate-tu-pa-ponerme-yo-usa-2026,https://pietix.com/quitate-tu-pa-ponerme-yo-usa-2026,pietix,20,true
121,pietix,juan-jose-hernandez,https://pietix.com/juan-jose-hernandez,pietix,20,true
122,pietix,kefas-rame-tour2026,https://pietix.com/kefas-rame-tour2026,pietix,20,true
123,pietix,candy-world-expo-winter2026,https://pietix.com/candy-world-expo-winter2026,pietix,20,true
